time,url,dcl,load,fcp,lcp,cls,fid
1616278588117,http://localhost:3000/,3125.319999991916,6017.9799999750685,3145.8699999784585,3223.634,0.11391130073991401,0
1616278594527,http://localhost:3000/,3122.540000011213,5112.185000005411,3143.8400000042748,3217.35,0.11391130073991401,3.850000008242205
1690004916215,http://localhost:3000/,4728.699999988079,6486.5,4788.799999952316,4788.799999952316,0.09791666666666667,0
1690004995650,http://localhost:3000/,4576.100000023842,6093.100000023842,4590.900000035763,4590.900000035763,0.09791666666666667,8.5
1690005066804,http://localhost:3000/,4574.300000011921,6308.100000023842,4592.199999988079,68702.69999998808,0.0037071557935240713,0
1690005212158,http://localhost:3000/,5068.900000035763,6482.700000047684,5084.400000035763,7499.700000047684,0.09791666666666667,3.5
1690010707762,http://localhost:3000/,4592.400000035763,6049.700000047684,4669,4669,0,0
1690010920413,http://localhost:3000/,4584.699999988079,7732.300000011921,58831.89999997616,58831.89999997616,0,0
1690010959666,http://localhost:3000/,4547.599999964237,6129.399999976158,4560.5,13236.5,0.09791666666666667,0
1690011044863,http://localhost:3000/,4552.599999964237,5943.699999988079,4560.199999988079,6955.399999976158,0.09791666666666667,0
1690106246210,http://localhost:3000/,4578,8025.700000047684,43800.200000047684,43800.200000047684,0,0
